פרטי ניירות ערך - מניות,,,,,,,,,,,,,,,,,,,,,,
נכון ל- 19/05/2024,,,,,,,,,,,,,,,,,,,,,,
מס' ני''ע,ISIN,שם (עברית),שם (אנגלית),סימול (עברית),סימול (אנגלית),"סוג ני""ע (עברית)","סוג ני""ע (אנגלית)",ענף על חברה (עברית),ענף על חברה (אנגלית),ענף חברה (עברית),ענף חברה (אנגלית),תת ענף חברה (עברית),תת ענף חברה (אנגלית),נכלל במדדים (עברית),נכלל במדדים (אנגלית),מספר תאגיד,מספר מנפיק,שם חברה מנפיקה (עברית),שם חברה מנפיקה (אנגלית),מקום התאגדות (עברית),מקום התאגדות (אנגלית),Email
1080522,IL0010805229,אוסטרליה ישראל,AUSTRALIA ISR,אסיש,AUIS,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,,,520041872,1001,אוסטרליה ישראל,AUSTRALIA ISR,ישראל,Israel,office@gorendev.co.il
1094986,IL0010949860,אופל בלאנס,OPAL BALANCE,אופל,OPAL,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,"מדד ת''א-פיננסים ,ת''א-צמיחה ,ת''א All-Share ,ת''א ביטוח-פלוס","TA-Finance Index ,TA-Growth ,TA-AllShare ,TA Insurance-Plus",513734566,1287,אופל בלאנס,OPAL BALANCE,ישראל,Israel,eyal@opalbalance.co.il
1129543,US68375N1037,אופקו הלת',OPKO HEALTH,אפקו,OPK,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,השקעות במדעי החיים,Investments In Life Science,"ת''א-90 ,ת''א-125 ,מדד ת''א-ביומד ,ת''א גלובל-בלוטק ,ת''א All-Share ,ת''א טק - עילית ,ת''א-רימון ,ת''א-SME150 ,ת''א-125 אקלים נקי ,ת''א-דואליות","TA-90 ,TA-125 ,TA-Biomed Index ,TA Global-BlueTech ,TA-AllShare ,TA Tech - Elite ,TA-Rimon ,TA-SME150 ,TA-125 Fossil Free ,TA-Dual listing",2279206,1610,אופקו,OPKO,ארה''ב - דלאוור,USA - Delaware,gfaibish@opko.com
265017,IL0002650179,אורביט,ORBIT,ארביט,ORBI,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,ביטחוניות,Defence,"ת''א-SME60 ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון ,ת''א-SME150 ,ת''א-תעשייה","TA-SME60 ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon ,TA-SME150 ,TA-Industrials",520036153,265,אורביט,ORBIT,ישראל,Israel,orbit-ir@orbit-cs.com
1104496,IL0011044968,אורד,ORAD,אורד,ORAD,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,השקעה ואחזקות,Investment & Holdings,,,512499344,1451,אורד,ORAD,ישראל,Israel,eyal.eldan@orad.cc
1176619,IL0011766198,אורה סמארט,AURA SMART,אורה,AUSA,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,קלינטק,Cleantech,,,515816114,1899,אורה סמארט אייר,AURA SMART AIR,ישראל,Israel,support@auraair.io
1135706,IL0011357063,אורון קבוצה,ORON GROUP,אורנ,ORON,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-בנייה","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Construction",513432765,1644,אורון קבוצה,ORON GROUP,ישראל,Israel,oron@oron-group.com
1103506,IL0011035065,אוריין,ORIAN,אורן,ORIN,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",511068256,1425,אוריין,ORIAN,ישראל,Israel,ayelet.berkovits@orian.com
1141324,US68403P2039,אורמד פארמ,ORAMED PHARM,ארמד,ORMP,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,ביוטכנולוגיה,Biotechnology,"מדד ת''א-ביומד ,ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,ת''א טק - עילית ,ת''א-רימון ,ת''א-דואליות","TA-Biomed Index ,TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA Tech - Elite ,TA-Rimon ,TA-Dual listing",,1691,אורמד,ORAMED,ארה''ב - דלאוור,USA - Delaware,office@oramed.com
1134402,US6866881021,אורמת טכנו,ORMAT TECHNO,ארמת,ORA,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,"ת''א-35 ,ת''א-125 ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון ,ת''א סקטור-באלאנס ,ת''א-תעשייה ,ת''א-תשתיות אנרגיה ,ת''א-קלינטק ,ת''א-125 אקלים נקי ,ת''א-דואליות","TA-35 ,TA-125 ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon ,TA Sector-Balance ,TA-Industrials ,TA-Energy Utilities ,TA-Cleantech ,TA-125 Fossil Free ,TA-Dual listing",,2250,אורמת טכנו,ORMAT TECHNO.,ארה''ב - דלאוור,USA - Delaware,ormat@ormat.com
715011,IL0007150118,אזורים,AZORIM,אזרם,AZRM,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-90 ,ת''א-125 ,ת''א-נדל''ן ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-בנייה ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-RealEstate ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Construction ,TA-125 Fossil Free",520025990,715,אזורים,AZORIM,ישראל,Israel,lilach@azorim.co.il
1096106,IL0010961063,אטראו שוקי הון,ATREYU CAP,אטרא,ATRY,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,שרותים פיננסיים,Financial Services,"ת''א-SME60 ,מדד ת''א-פיננסים ,מדד תל-דיב ,ת''א All-Share ,ת''א ביטוח-פלוס ,ת''א-רימון ,ת''א-SME150","TA-SME60 ,TA-Finance Index ,Tel-Div Index ,TA-AllShare ,TA Insurance-Plus ,TA-Rimon ,TA-SME150",513773564,1307,אטראו שוקי הון,ATREYU CAPITAL,ישראל,Israel,atreyu@leader.co.il
1176114,IL0011761140,אי.טי.ג'י.איי,ETGA GROUP,אטגא,ETGA,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",513764399,1912,אי.טי.ג'י.איי,ETGA GR0UP,ישראל,Israel,tomera@etga.co.il
175018,IL0001750186,איביאי בית השק,IBI INV HOUSE,אבא,IBI,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,שרותים פיננסיים,Financial Services,"מדד ת''א-פיננסים ,מדד ת''א-מעלה ,ת''א-צמיחה ,ת''א All-Share ,ת''א ביטוח-פלוס ,ת''א-רימון ,ת''א-פמילי","TA-Finance Index ,TA-Maala Index ,TA-Growth ,TA-AllShare ,TA Insurance-Plus ,TA-Rimon ,TA-Family",520034356,175,איביאי בית השק,IBI INV HOUSE,ישראל,Israel,dror@ibi.co.il
1084482,IL0010844822,איביאי חיתום,IBI UNDERWRIT,אבאנ,IBIU,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,שרותים פיננסיים,Financial Services,"מדד ת''א-פיננסים ,ת''א-צמיחה ,ת''א All-Share ,ת''א ביטוח-פלוס","TA-Finance Index ,TA-Growth ,TA-AllShare ,TA Insurance-Plus",511819617,1106,איביאי חיתום,IBI UNDERWRIT,ישראל,Israel,hitum@ibi.co.il
1176346,IL0011763468,אידומו,IDOMOO,אדמו,IDMO,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,513973727,1890,אידומו,IDOMOO,ישראל,Israel,ron.ela@idomoo.com
1173343,IL0011733438,איי ארגנטו יהש,I ARGENTO PU,ארגנ,IARG,יחידת השתתפות,Participating unit,הייטק,High-Tech,טכנולוגיה,Technology,השקעות בהייטק,Investments In High-Tech,,,540299351,1842,איי ארגנטו,IARGENTO,ישראל,Israel,office@iargento.com
169011,IL0001690119,איי.אי מערכות-ש,AI SYSTEMS-M,אאמש-ש,AICS-M,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,520034919,169,איי.אי מערכות-ש,AI SYSTEMS-M,ישראל,Israel,anat@a-i.com
281014,IL0002810146,איי.סי.אל,ICL,איסל,ICL,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,"כימיה, גומי ופלסטיק","Chemical, Rubber & Plastic","ת''א-35 ,ת''א-125 ,מדד ת''א-מעלה ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א סקטור-באלאנס ,ת''א-תעשייה ,ת''א-דואליות","TA-35 ,TA-125 ,TA-Maala Index ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA Sector-Balance ,TA-Industrials ,TA-Dual listing",520027830,281,איי.סי.אל,ICL,ישראל,Israel,contactus@icl-group.com
431015,IL0004310152,אייאיאס,IES,איאס,IES,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"ת''א-90 ,ת''א-125 ,ת''א-נדל''ן ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-פמילי ,ת''א-מניב ישראל ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-RealEstate ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Family ,TA-Investment Properties in Israel ,TA-125 Fossil Free",520039132,431,אייאיאס,IES,ישראל,Israel,eli@ies.com
1129501,IL0011295016,איידיאיי ביטוח,IDI INSUR,אדבט,IDIN,מניה רגילה,Ordinary Share,פיננסי,Finance,ביטוח,Insurance,ביטוח,Insurance,"ת''א-90 ,ת''א-125 ,מדד ת''א-פיננסים ,מדד ת''א-מעלה ,מדד תל-דיב ,ת''א All-Share ,ת''א ביטוח-פלוס ,ת''א-רימון ,ת''א-SME150 ,ת''א-125 אקלים נקי ,ת''א-ביטוח","TA-90 ,TA-125 ,TA-Finance Index ,TA-Maala Index ,Tel-Div Index ,TA-AllShare ,TA Insurance-Plus ,TA-Rimon ,TA-SME150 ,TA-125 Fossil Free ,TA-Insurance",513910703,1608,איידיאיי ביטוח,I.D.I INSURANCE,ישראל,Israel,pniot@yashir.co.il
1177450,IL0011774507,איידנטי,IDENTI,אדנט,IDNT,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,515679405,1921,איידנטי הלת',IDENTI HEALTH,ישראל,Israel,info@identimedical.com
209015,IL0002090152,איילון,AYALON  HOLD.,אילון,AYAL,מניה רגילה,Ordinary Share,פיננסי,Finance,ביטוח,Insurance,ביטוח,Insurance,"מדד ת''א-פיננסים ,מדד ת''א-מעלה ,ת''א-צמיחה ,ת''א All-Share ,ת''א ביטוח-פלוס ,ת''א-רימון ,ת''א-ביטוח","TA-Finance Index ,TA-Maala Index ,TA-Growth ,TA-AllShare ,TA Insurance-Plus ,TA-Rimon ,TA-Insurance",520030677,209,איילון,AYALON,ישראל,Israel,nazkirutm@ayalon-ins.co.il
1182484,IL0011824849,אייקון גרופ,ICON GROUP,איקן,ICON,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",513955252,1993,אייקון גרופ,ICON GROUP,ישראל,Israel,rayaa@idigital.co.il
1173376,IL0011733768,איירטאצ,AIRTOUCH,ארטצ,ARTS,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,רובוטיקה ותלת מימד,Robotics & 3d,,,515509347,1862,איירטאצ',AIRTOUCH,ישראל,Israel,info@airtouchsolar.com
1080753,IL0010807530,אילקס מדיקל,ILEX MEDICAL,אילקס,ILX,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,"ת''א-SME60 ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-פמילי","TA-SME60 ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Family",520042219,1019,אילקס מדיקל,ILEX MEDICAL,ישראל,Israel,talh@ilexmedical.com
1183813,IL0011838138,אימאג'סט,IMAGESAT  I.S.I,אימג,ISI,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,ביטחוניות,Defence,"ת''א-SME60 ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון ,ת''א-SME150 ,ת''א-תעשייה","TA-SME60 ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon ,TA-SME150 ,TA-Industrials",512737560,2357,אימאג'סט אינט',IMAGESAT,ישראל,Israel,yuval.s@imagesatintl.com
1171230,IL0011712309,אימד יהש,IMED PU,אימד,IMED,יחידת השתתפות,Participating unit,הייטק,High-Tech,ביומד,Biomed,השקעות במדעי החיים,Investments In Life Science,,,540299518,1833,אימד אינפיניטי,IMED INFINITY,ישראל,Israel,itay.galor@innonation.io
282012,IL0002820129,אימקו,IMCO,אמקו,IMCO,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,ביטחוניות,Defence,,,520037243,282,אימקו,IMCO,ישראל,Israel,miriam.d@imco-ind.com
341016,IL0003410169,אינטו,IINTOO,אנטו,INTO,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,,,520037763,341,אינטו,IINTOO,ישראל,Israel,info@intoo.com
1080928,IL0010809288,אינטר תעשיות,INTER INDSTRIES,אנתע,ININ,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,חשמל,Electrical,"ת''א-צמיחה ,ת''א All-Share ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Industrials",520042458,1028,אינטר תעשיות,INTER INDSTRIES,ישראל,Israel,adi.bar@interplus.co.il
174011,IL0001740112,אינטרגאמא,INTERGAMA,אנטר,INTR,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,,,520034380,174,אינטרגאמא,INTERGAMA,ישראל,Israel,ruth@intergama.co.il
1083443,IL0010834435,אינטרנט זהב-ש,INTERNET GOLD-M,אנזהב-ש,IGLD-M,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,חברות ללא פעילות ומעטפת,Inactive & Shell Companies,,,520044264,2156,אינטרנט זהב-ש,INTERNET GOLD-M,ישראל,Israel,amitaiweis@gmail.com
1106376,IL0011063760,אינטרקיור,INTERCURE,אנקר,INCR,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,קנאביס,Cannabis,"מדד ת''א-ביומד ,ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,ת''א-רימון ,ת''א-דואליות","TA-Biomed Index ,TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Rimon ,TA-Dual listing",512051699,1480,אינטרקיור,INTERCURE,ישראל,Israel,info@intercure.com
1080688,IL0010806888,אינפימר-ש,INFIMER-M,אנפר-ש,INFR-M,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,חברות ללא פעילות ומעטפת,Inactive & Shell Companies,,,520041773,1012,אינפימר-ש,INFIMER-M,ישראל,Israel,uri@cfo.co.il
1132356,IL0011323560,אינרום,INROM CONST,אנרם,INRM,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מתכת ומוצרי בניה,Metal & Building Products,"ת''א-90 ,ת''א-125 ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-תעשייה ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Industrials ,TA-125 Fossil Free",515001659,1616,אינרום בנייה,INROM CONSTRUCT,ישראל,Israel,tair@inrom-group.co.il
1081074,IL0010810740,איסתא,ISSTA,אסתא,ISTA,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מלונאות ותיירות,Hotels & Tourism,"ת''א-90 ,ת''א-125 ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-פמילי ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Family ,TA-125 Fossil Free",520042763,1036,איסתא,ISSTA,ישראל,Israel,eitanar@issta.co.il
363010,IL0003630105,אירודרום קבוצה,AERODROME GROUP,ארדמ,ARDM,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,ביטחוניות,Defence,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א-תעשייה","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Industrials",520037607,363,אירודרום קבוצה,AERODROME GROUP,ישראל,Israel,office@aerodrome-ops.com
1087824,IL0010878242,אל על,EL AL,אלעל,ELAL,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-90 ,ת''א-125 ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150","TA-90 ,TA-125 ,TA-AllShare ,TA-Rimon ,TA-SME150",520017146,1152,אל על,EL AL,ישראל,Israel,corporate@elal.co.il
1083856,IL0010838568,אלארום,ALARUM,אלאר,ALAR,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,תוכנה ואינטרנט,Software And Internet,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון ,ת''א-דואליות","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon ,TA-Dual listing",511418477,1091,אלארום טכנ',ALARUM TECHNO,ישראל,Israel,info@alarum.io
1081116,IL0010811169,אלביט הדמיה-ש,ELBIT IMAGING-M,אלבהד-ש,EMITF-M,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,חברות ללא פעילות ומעטפת,Inactive & Shell Companies,,,520043035,1039,אלביט הדמיה-ש,ELBIT IMAGING-M,ישראל,Israel,riki@elbitimaging.com
